Scenar,,Blok,LongText1,Headline1,Headline2,READING TOTAL,Feedback,Transition DO riadka,Playout,Hlasitost v %,,,,Kody tlacidiel deck,,Pocasie,Teploty,Ikonky,Automaticky nacitane,09.15. 20:27,tempba,temptt,tempnr,temptn,tempza,tempbb,temppo,tempke,text9,text10,Image1,Image2,Image3,Image4,Image5,Image6,Image7,Image8
LOAD TABULKY.     LOAD CITACKY,,Dva krúžky namiesto štyroch,"Namiesto štyroch poslancov budeme v najbližších voľbách možno krúžkovať len dvoch. Koalícia chce znížiť počet preferenčných krúžkov, aby cez koaličných partnerov prešiel návrh zrušiť voľby poštou zo zahraničia.",Menej krúžkovania,,210,OK,SYN TO ILU TEMA,ILU PARLAMENT,50,ILU TARABA.mp4,,,18/0/7,,,,,,,,,,,,,,,,,,,,,,,,
Toto ti posuva rozsah a v riadku,,Dva krúžky namiesto štyroch,"Gabika:
Čo z toho má občan?
Richter:
O nič nie je v tomto prípade ukratený. O dva kružky. No, dobre, tak budem musieť trošku viacej rozmýšľať, komu tie preferenčné hlasy dá.
Gabika:
Nerobíte to kvôli tomu, že sa vám proste rozpadol klub a prečo sa tu majú vlastne pykať ľudia tým, že prídu o dva kružky.
Michelko:
Bolo to priateľné pre koaličného partnera, zatiaľ je to tak, štvrtok sa ešte uvidí a je to nejaký kompromis.
Gabika:
Stále nerozumiem, prečo občan má prísť o dva preferenčné kružky len kvôli tomu, že vy potrebujete vyhovieť svojmu koaličnému partnerovi.
Gašpar:
Nebudem sa už nejako opakovať. Keď tomu nerozumiete, zostanete v tom nevedomá.
Mesterová:
Evidentne sa potrebujú dohodnúť, aby nejako dovládli.”",,,720,OK,ILU TO SYN CLUSTER,SYN CLUSTER KRUZKY,100,SYN PUCI.mp4,,,16/3/3,,,,,,,,,,,,,,,,,,,,,,,,
kde si kliknuty ti bud spravi volny ,,Dva krúžky namiesto štyroch,Celú reportáž nájdete na našom webe.,Viac na 360tka.sk,,36,OK,SYN TO ILU,ILU GABIKA AVIZO,50,ILU UKRAJINA VLAK.mp4,,,18/0/5,,,,,,,,,,,,,,,,,,,,,,,,
riadok posunutim obsahu dole,,Ferenčák,"Poslanca Jána Ferenčáka obvinili k korupcie. Informoval o tom on sám a tvrdí, že je to na objednávku ministra vnútra Šutaja Eštoka.",Obvinený Ferenčák,,131,OK,ILU TO ILU TEMA,ILU FERENCAK,50,SYN KALLAS.mp4,,,18/1/6,,,,,,,,,,,,,,,,,,,,,,,,
alebo ho zmaze posunutim hore,,Ferenčák,"“Je to jasný odkaz všetkým Slyškom, Tarabovcom, Ferenčákovcom a ostatným poslancom, že majú pekne sedieť, šúchať nožkami a stláčať gombíky tak, ako sa patrí.”",Ján Ferenčák,poslanec NR SR (nezaradený),158,OK,ILU TO SYN,SYN FEREN,100,ILU REAKCIE POLIAKOV.mp4,,,18/0/4,,,,,,,,,,,,,,,,,,,,,,,,
,,Ferenčák,"Policajné prezídium reagovalo, že zásahy odmieta a vyšetrovanie je nezávislé a zákonné.",Reakcia ministerstva,,87,OK,SYN TO ILU,ILU ESTOK,50,SYN SIKORSKI.mp4,,,18/0/5,,,,,,,,,,,,,,,,,,,,,,,,
nedovoli ti to menit po riadok 9,,Adel súd,"Pred piatimi rokmi nahral Roberta Fica na chate v Čifároch, dnes sa za to postavil pred súd. Policajt Martin Juhás čelí obžalobe zo zneužívania právomoci verejného činiteľa pre vyhotovenie nahrávok v kauzy poľovníckej chaty. Na súde bol Adel Ghannam. Adel, je šanca že uvidíme premiéra rozprávať o tom čo sa na chate dialo?",Súd o poľovníckej chate,,323,OK,ILU TO ILU TEMA,ILU cifare,50,ILU CDU.mp4,,,18/1/6,,,,,,,,,,,,,,,,,,,,,,,,
,,Adel súd,"Adel:
“Či uvidíme aj Roberta Fica rozprávať je naozaj otázna, a to vzhľadom na to, že si neuplátnil svoj nárok na náhradu škody, na rozdiel od ostatných poškodených, či už je to Marek Para pozostalý po Miroslavovi Bodorovi alebo Pavol Gašpar, každý jednotlivo žiadajú 30 tisíc eur od Martina Juhasa, a Robert Fico nežiada nič. Tento súd je však primárne o tom, či Martin Juhas neužil svoju právomoc, on to odmieta.”
Para:
“Klamlým spôsobom súda zavedli, zavedli prokuratúru, že majú nejaké informácie, ktoré vynetne nemali.”
Juhas:
“Nikdy som neporušil pri výkoň služobnej činnosti mojej povinnosti, ani žiaden zákon.”",,,618,OK,ILU TO SYN CLUSTER,SYN CLUSTER ADEL,100,ILU KALAVSKY.mp4,,,16/3/3,,,,,,,,,,,,,,,,,,,,,,,,
Vzorec v O uz netreba riesit robi,,Prieskum,Približne polovica opozičných voličov odmieta bližšiu spoluprácu s Maďarskou alianciou. Ukázal to exkluzívny prieskum agentúry Focus pre 360tku.,Spolupráca s Alianciou,,144,OK,SYN TO ILU TEMA,ILU GUBIK,50,ILU ZALA.mp4,,,18/0/7,,,,,,,,,,,,,,,,,,,,,,,,
sa to samo,,Prieskum,"“Tu sú výsledky toho, ako to dokopí vydia voliči strán PS, hnutia Slovensko, KDH, SAS a demokratov. 46% z nich chce, aby s Maďarskou alianciou tieto strany spolupracovali viac, 45% je naopak proti, no a 9% na to nemá názor.”",Denisa Hopková,reportérka 360tky,224,OK,ILU TO SYN,SYN PRIESKUM,100,ILU SVIATOK.mp4,,,18/0/4,,,,,,,,,,,,,,,,,,,,,,,,
9,,Prieskum,"Ako sa líšia názory voličov jednotlivých strán a čo si o spolupráci s opozíciou mysia podporovatelia Maďarskej aliancie - dozviete sa v celom prieskume, ktorý nájdete na našom webe.",Viac na 360tka.sk,,181,OK,SYN TO ILU,ILU PRIESKUM AVIZO,50,ILU ZVEREV.mp4,,,18/0/5,,,,,,,,,,,,,,,,,,,,,,,,
PATH na sources prefix,,SPRÁVY JEDNOU VETOU,"Stíhačky NATO zostrelili dron, ktorý vošiel do litovského vzdušného priestoru. Letel z Bieloruska a smeroval na západ.",Zostrelený dron nad Litvou,,118,OK,Spravy JV,ILU LITVA,50,ILU LOBOTKA.mp4,,,18/2/0,,,,,,,,,,,,,,,,,,,,,,,,
Z:\26_PROJEKTY\016_Spravy_360s\0915,,SPRÁVY JEDNOU VETOU,"Štát vyhral kľúčový súdny spor o Národný futbalový štadión. Nemusí tak zaplatiť požadovaných takmer 70 miliónov, naopak vráti sa mu milión eur na súdnych trovách.",Štát vyhral súd o štadión,,162,OK,Spravy JV NEXT,ILU HULIAK,50,ILU UKRAJINA 1.mp4,,,18/3/0,,,,,,,,,,,,,,,,,,,,,,,,
nazov zlozky = datum - je automaticky MMDD,,ŠPORT,Dnes sa začína nová sezóna najvyššej slovenskej hokejovej súťaže. Obhajcovia titulu z Nitry hrajú prvý zápas na domácom štadióne so súperom z minuloročného finále - Slovanom Bratislava.,Začína sa Tipsport liga,,185,OK,Sport,ILU HOKEJ,50,ILU AVIZO POMAJBO.mp4,,,18/2/1,,,,,,,,,,,,,,,,,,,,,,,,
0915,,ŠPORT,AS Rím aj Inter Miláno si pripísali víťazstvá a sú tak na prvých dvoch priečkach tabuľky talianskej Série A. Oba tímy vyhrali všetky 4 úvodné zápasy sezóny.,AS Rím a Inter na čele,,156,OK,Sport NEXT,ILU SERIA A,50,SYN AVIZO.mp4,,,18/3/1,,,,,,,,,,,,,,,,,,,,,,,,
Path override (date below):,,POČASIE,"Zajtra bude podobne ako dnes - jasno až polooblačno, cez deň od 19 do 26 stupňov. V noci sa môže ochladiť až na 6 stupňov.",,,122,NOT OK,Pocasie,POCASIE,,ILU NORSKO.mp4,,,18/2/3,,,,,,,,,,,,,,,,,,,,,,,,
,,ZÁVER + AVIZO,"No a na záver ešte jeden tip od nás. Ministerka Denisa Saková sa pre 360tku vôbec po prvýkrát vyjadrila ku kauze Kozmetička aj k rozhodnutiu premiéra vziať časť kompetencií. Všetko nájdete v reportáži na 360tka.sk.
To je na dnes všetko. Dovidenia opäť zajtra.",Sledujte na www.360tka.sk,,259,OK,Zaver,ILU AVIZO SAKOVA F,50,ILU AVIZO.mp4,,,18/2/4,,,,,,,,,,,,,,,,,,,,,,,,
